ip src,tcp dst port,tcp flags,frame len,label
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.9,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.7,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.9,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.9,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.15,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.1,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.15,5001.0,0x00000002,81.0,ddos
10.1.1.7,5001.0,0x00000002,81.0,ddos
10.1.1.9,5001.0,0x00000002,81.0,ddos
10.1.1.2,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.7,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.1,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.15,5001.0,0x00000002,81.0,ddos
10.1.1.1,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.7,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.6,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.10,5001.0,0x00000002,81.0,ddos
10.1.1.2,5001.0,0x00000002,81.0,ddos
10.1.1.2,5001.0,0x00000002,81.0,ddos
10.1.1.10,5001.0,0x00000002,81.0,ddos
10.1.1.2,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.15,5001.0,0x00000002,81.0,ddos
10.1.1.15,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.10,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.10,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.2,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.0,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.7,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.1,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.7,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.9,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.9,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.1,5001.0,0x00000002,81.0,ddos
10.1.1.5,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.4,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.8,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.14,5001.0,0x00000002,81.0,ddos
10.1.1.11,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.3,5001.0,0x00000002,81.0,ddos
10.1.1.13,5001.0,0x00000002,81.0,ddos
10.1.1.1,5001.0,0x00000002,81.0,ddos
10.1.1.15,5001.0,0x00000002,81.0,ddos
10.1.1.12,5001.0,0x00000002,81.0,ddos
10.1.1.10,5001.0,0x00000002,81.0,ddos
